,year,case,rep,zones_controlled,onoffseed,tempseed,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
236,2022,3,0,4,5,15,735.9516245117226,1.1590577941723632,9.653729071537292,0.1410116565991347,0.7402983157525864,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
237,2023,14,0,4,10,42,110.73597474122283,0.07265142667942176,35.18645357686454,1.0029842851292448,2.452984323267691,,240,Partial Control,,,
238,2023,4,0,9,5,30,274.6278362487608,0.5369408926290927,33.525494672754945,1.399489318023038,3.258316557993148,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
239,2022,3,0,9,15,15,542.5037938108381,0.7261856664248787,25.09512937595129,0.7592987898313243,2.1364461455195296,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
240,2023,1,0,9,10,30,824.7464781527486,2.827183471637016,16.040715372907155,0.0774157366420219,0.3650598152729165,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
241,2023,2,0,9,10,42,673.6820412490923,2.31278983823294,22.054794520547947,0.2048794898351153,0.7443444637835733,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
242,2023,14,0,0,10,42,160.177117082615,0.10637031575155927,30.435692541856923,0.4698794812455574,1.410760203642859,,0,Manual Control,,,
243,2023,14,0,0,15,15,190.60852024496648,0.12353485230889807,10.327245053272453,0.2735622231077618,1.2435099090047808,,0,Manual Control,,,
244,2022,2,0,9,5,42,1113.747554307853,2.313644126761618,20.842846270928465,0.2165023828333393,0.7844079175542551,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
245,2022,10,0,4,15,15,2027.0609551317334,1.0281844105074776,20.180745814307457,0.6119440850846032,1.9687544749189403,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
246,2022,0,0,9,15,42,1424.324178669931,2.951908865402867,11.23097412480974,0.0433675718519042,0.2600165670250774,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
247,2022,5,0,4,10,42,2628.6091055903325,1.3330038487349298,27.054794520547947,0.9294059789182738,2.478793452642026,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
248,2023,2,0,9,5,30,673.6820412490923,2.31278983823294,22.054794520547947,0.2048794898351153,0.7443444637835733,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
249,2023,3,0,9,15,42,325.10305664309874,0.7053262986897975,26.162480974124808,0.7683647787210143,2.1663479660135327,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
250,2022,2,0,9,15,30,1113.747554307853,2.313644126761618,20.842846270928465,0.2165023828333393,0.7844079175542551,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
251,2023,0,0,9,10,30,864.6438924055233,2.9611804267023922,12.3382800608828,0.0371417608054066,0.2189081993906933,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
252,2022,2,0,4,10,42,1171.5441215682729,2.4330678992226016,31.227168949771688,0.9000083541561547,2.311430306073349,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
