timestep,year,month,day,hour,Zone Operative Temperature(hall_downstairs),Zone Air Temperature(hall_downstairs),Zone Operative Temperature(front_room),Zone Air Temperature(front_room),Zone Operative Temperature(kitchen),Zone Air Temperature(kitchen),Zone Operative Temperature(backroom),Zone Air Temperature(backroom),Zone Operative Temperature(bedroom_3),Zone Air Temperature(bedroom_3),Zone Operative Temperature(bedroom_1),Zone Air Temperature(bedroom_1),Zone Operative Temperature(hall_upstairs),Zone Air Temperature(hall_upstairs),Zone Operative Temperature(bathroom),Zone Air Temperature(bathroom),Zone Operative Temperature(bedroom_2),Zone Air Temperature(bedroom_2),Zone People Occupant Count(front_room),Zone People Occupant Count(kitchen),Zone People Occupant Count(backroom),Zone People Occupant Count(bedroom_3),Zone People Occupant Count(bedroom_1),Zone People Occupant Count(hall_upstairs),Zone People Occupant Count(bathroom),Zone People Occupant Count(bedroom_2)
40504,2022.0,10.0,9.0,6.0,20.11135,20.662514,20.195972,20.794626,20.209803,20.89901,18.98245,18.753538,18.992044,19.225004,20.194914,20.987453,20.123789,20.983778,18.294323,17.916365,20.048594,21.149487,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
40505,2022.0,10.0,9.0,6.0,20.08185,20.559895,20.226881,20.762278,20.155802,20.693008,19.246565,19.455223,19.633171,20.159016,19.354935,19.266016,20.105408,20.794601,19.030272,19.559574,20.071379,20.9956,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0
40506,2022.0,10.0,9.0,7.0,19.970865,20.249882,20.152857,20.56818,20.057697,20.4566,19.777134,20.25696,19.504082,19.752422,18.897957,18.674862,19.983671,20.475775,19.9247,20.816822,19.94613,20.644062,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
40507,2022.0,10.0,9.0,7.0,20.055283,20.398895,20.181498,20.599913,20.07149,20.443558,19.699335,19.967394,20.097578,20.801144,18.761742,18.519255,19.799623,20.117907,19.886644,20.6025,19.959301,20.583603,0.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0
40508,2022.0,10.0,9.0,7.0,20.109407,20.461124,19.970528,20.135548,20.133327,20.52219,19.973442,20.46719,20.052994,20.644585,18.687105,18.450527,19.12875,18.798834,19.617094,20.085716,19.782793,20.25643,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
40509,2022.0,10.0,9.0,7.0,20.156603,20.541752,20.253689,20.68376,20.149141,20.518587,19.300522,19.09334,19.224432,18.974167,18.625797,18.392931,18.826385,18.4411,19.688427,20.137447,18.959398,18.645208,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
40510,2022.0,10.0,9.0,7.0,20.116238,20.396036,20.19534,20.540045,20.152859,20.527641,18.908417,18.583578,19.517025,19.80035,18.962772,19.077677,19.537313,19.876925,19.698812,20.139969,19.42388,19.8038,4.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0
40511,2022.0,10.0,9.0,7.0,20.112152,20.388212,20.203316,20.535099,19.519129,19.282269,18.788502,18.448338,20.049173,20.601969,19.9247,20.600573,19.725119,20.041735,18.86086,18.489532,19.713194,20.165735,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40512,2022.0,10.0,9.0,8.0,20.149958,20.440273,20.245409,20.610828,19.766932,19.958828,18.721813,18.382093,19.288128,19.051031,19.234571,19.162153,19.104534,18.800552,18.454962,18.023472,18.94897,18.648512,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
40513,2022.0,10.0,9.0,8.0,20.111044,20.386984,19.708008,19.554966,20.156698,20.569513,18.680105,18.35182,18.87761,18.556513,18.809223,18.612707,18.821844,18.467527,18.32616,17.900393,18.55934,18.190123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40514,2022.0,10.0,9.0,8.0,19.569197,19.335323,19.791485,19.889755,19.54947,19.355267,18.653048,18.338793,18.765337,18.445457,18.715273,18.514029,19.518402,19.859535,19.265797,19.754734,18.439651,18.074675,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
40515,2022.0,10.0,9.0,8.0,19.99529,20.262024,20.255116,20.702179,19.283268,18.981138,18.638233,18.337774,18.716337,18.409697,18.672338,18.47664,20.098434,20.753273,20.027037,20.894535,18.383883,18.034687,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
40516,2022.0,10.0,9.0,8.0,20.133873,20.418314,19.707981,19.591997,19.174301,18.8765,18.624794,18.339104,18.67334,18.382849,18.638464,18.453995,19.872879,20.276033,19.735582,20.281467,18.33627,18.006361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40517,2022.0,10.0,9.0,8.0,19.620853,19.418724,19.412798,19.20929,19.109453,18.824476,18.615078,18.343857,18.641186,18.367256,18.612608,18.438797,19.235632,19.001606,18.92006,18.653135,18.299938,17.988588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40518,2022.0,10.0,9.0,9.0,19.406668,19.129978,19.33061,19.120033,19.07325,18.80127,18.611156,18.354076,18.623512,18.364517,18.597013,18.431604,19.795628,20.182955,19.642708,20.182896,18.279428,17.98549,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
40519,2022.0,10.0,9.0,9.0,19.324806,19.054663,19.678097,19.820492,19.045723,18.78843,18.609825,18.36753,19.316668,19.69649,18.585592,18.429506,20.1393,20.685205,19.824163,20.392132,18.26504,17.98927,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
40520,2022.0,10.0,9.0,9.0,19.267262,19.011845,20.280502,20.809439,19.02145,18.778986,18.610489,18.382875,19.976936,20.650162,18.576975,18.430468,20.071388,20.522902,19.057472,18.83991,18.25433,17.996449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40521,2022.0,10.0,9.0,9.0,19.226503,18.985943,20.110943,20.38279,19.003084,18.775064,18.613323,18.400097,19.279549,19.17486,18.573261,18.435904,19.453684,19.288616,19.69204,20.289146,18.249096,18.008501,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
40522,2022.0,10.0,9.0,9.0,19.203669,18.977148,20.277054,20.699215,19.607094,19.933203,18.618658,18.419857,19.015854,18.81244,18.576054,18.447983,20.00862,20.456991,20.110256,20.861156,18.250797,18.02705,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0
40523,2022.0,10.0,9.0,9.0,19.843225,20.214918,20.17173,20.44185,20.21399,20.83765,18.625774,18.4412,18.938915,18.7416,18.58141,18.462395,20.250212,20.734186,20.064081,20.718096,18.255661,18.04871,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40524,2022.0,10.0,9.0,10.0,20.228785,20.739735,20.256693,20.612473,19.6004,19.548227,18.634443,18.463942,18.897558,18.712568,18.590034,18.48063,20.322586,20.823236,19.281647,19.14368,18.264048,18.073378,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40525,2022.0,10.0,9.0,10.0,19.661745,19.573019,20.251497,20.605223,19.267277,19.107107,18.641958,18.482777,18.871567,18.698399,18.599482,18.497303,20.38501,20.895607,18.923653,18.7132,18.272371,18.09441,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
40526,2022.0,10.0,9.0,10.0,19.390501,19.22594,19.829382,19.778702,19.18932,19.024683,18.649282,18.500908,18.854338,18.692392,18.609842,18.514544,20.14682,20.460783,18.819036,18.608131,18.281788,18.115898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40527,2022.0,10.0,9.0,10.0,19.321827,19.158815,19.60256,19.493378,19.15666,19.000761,19.283655,19.698208,18.843332,18.69237,18.620756,18.53218,19.682999,19.565298,18.764977,18.566786,18.29307,18.138966,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
40528,2022.0,10.0,9.0,10.0,19.296251,19.142567,19.92243,20.147106,19.139786,18.993877,20.27812,21.296423,18.8395,18.699074,18.631464,18.548656,19.512135,19.338278,18.737617,18.553614,18.306448,18.164661,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
40529,2022.0,10.0,9.0,10.0,19.27517,19.132862,20.264696,20.670527,19.124718,18.989895,20.158503,20.942207,18.83795,18.708408,19.049894,19.33294,19.436993,19.270027,18.714138,18.545729,18.323841,18.19366,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
40530,2022.0,10.0,9.0,11.0,19.259632,19.128641,20.279943,20.681368,19.11345,18.989513,19.440157,19.462212,18.839428,18.720314,20.008156,20.837679,19.3907,19.23607,19.6868,20.408318,18.342815,18.223806,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
40531,2022.0,10.0,9.0,11.0,19.24534,19.122166,19.88722,19.89763,19.7018,20.110966,19.097822,19.015844,18.840326,18.72792,19.433374,19.543129,19.354427,19.20885,20.062912,20.810013,18.358427,18.246784,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
40532,2022.0,10.0,9.0,11.0,19.23295,19.116995,19.64469,19.572792,20.257816,20.93047,19.015263,18.92025,18.841568,18.735376,19.041197,18.998396,19.32559,19.188118,19.330688,19.293007,18.372417,18.267717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
