,episode_num,cost,gas_cost,electricity_cost,cumulative_reward,mean_reward,cumulative_emissions,mean_emissions,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_emissions_penalty,mean_emissions_penalty,cumulative_air_quality_penalty,mean_air_quality_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,mean_air_quality_violation,std_air_quality_violation,cumulative_air_quality_violation,length(timesteps),time_elapsed(seconds),year,case,rep,zones_controlled,onoffseed,tempseed,filename,Unnamed: 0
175,0,137379.97107911893,137379.97107911893,0.0,-410137.33855644776,-7.8032218142398735,4834.965150899617,0.0919894435102666,-31896.38910799835,-0.6068567181887053,-145048.95452698853,-2.759683305308001,-265850.3951086222,-5.058036436617622,14.634703196347033,0.6068567181887053,2.0899082020523907,26585039.51086222,505.8036436617622,586.8153077358239,31896.38910799835,52560,31536000,2023,0,0,0,10,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_10_tempseed_15_paper2_final_runs_v1-res1_progress.csv,
230,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_15_tempseed_30_paper2_final_runs_v1-res3_progress.csv,
235,0,156668.29051340988,156668.29051340988,0.0,-513780.28589049913,-9.775119594568096,3267.6038811853846,0.0621690236146382,-92333.12106991044,-1.7567184374031668,-98028.11643556152,-1.865070708439146,-293276.83635156805,-5.579848484618875,30.8751902587519,1.7567184374031668,4.163632663333254,29327683.635156803,557.9848484618874,641.5507276902183,92333.12106991044,52560,31536000,2022,0,0,0,15,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_15_tempseed_42_paper2_final_runs_v1-res2_progress.csv,
242,0,187700.1451594912,187700.1451594912,0.0,-429946.89041143184,-8.18011587540776,3927.782477640657,0.0747294991940764,-188.9808791067319,-0.00359552661923,-117833.4743292197,-2.2418849758222925,-276200.4207773453,-5.254954733206722,10.150304414003044,0.00359552661923,0.021952410180066,27620042.077734526,525.4954733206721,625.5775283231607,188.9808791067319,52560,31536000,2022,0,0,0,5,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_5_tempseed_42_paper2_final_runs_v1-res2_progress.csv,
243,0,131542.98682410253,131542.98682410253,0.0,-417232.6325920755,-7.938215992999915,4633.696253308773,0.0881601265850223,-36723.21403802508,-0.6986912868726233,-139010.88759926317,-2.644803797550669,-272894.10103325214,-5.192049106416517,16.562024353120243,0.6986912868726233,2.3367520947254534,27289410.10332521,519.2049106416517,603.4805009997491,36723.21403802508,52560,31536000,2023,0,0,0,15,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_15_tempseed_15_paper2_final_runs_v1-res2_progress.csv,
249,0,89161.47712320148,89161.47712320148,0.0,-440260.7896400468,-8.376346834856294,3055.33294577312,0.0581303832909649,-65179.696609447856,-1.2401007726302864,-91659.98837319358,-1.7439114987289497,-302138.0885961079,-5.74844156385289,31.95395738203957,1.2401007726302864,2.957880692461412,30213808.859610792,574.844156385289,640.6978867421333,65179.696609447856,52560,31536000,2023,0,0,4,15,42,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_15_tempseed_42_paper2_final_runs_v1-res3_progress.csv,
251,0,176333.0793405838,176333.0793405838,0.0,-471621.83661879005,-8.973018200509705,3701.60978631976,0.0704263657975601,-33669.1745295465,-0.6405855123581906,-111048.2935895928,-2.112790973926804,-293694.569880712,-5.587796230607153,20.279680365296805,0.6405855123581906,2.0275586027154637,29369456.9880712,558.7796230607153,624.336353312212,33669.1745295465,52560,31536000,2022,0,0,4,15,15,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_15_tempseed_15_paper2_final_runs_v1-res3_progress.csv,
261,0,160830.5946251859,160830.5946251859,0.0,-378243.5722660868,-7.196414997452185,5659.175628220391,0.1076707691822753,0.0,0.0,-169775.26884661173,-3.2301230754682595,-246668.06280322227,-4.693075776317015,0.0,0.0,0.0,24666806.280322228,469.3075776317015,577.5085679548447,0.0,52560,31536000,2023,0,0,0,5,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_5_tempseed_15_paper2_final_runs_v1-res1_progress.csv,
298,0,142432.41786699308,142432.41786699308,0.0,-420157.4084609814,-7.993862413641199,2951.908865402867,0.0561626496461732,-2279.399576536085,-0.0433675718519042,-88557.265962086,-1.684879489385198,-301354.04782745824,-5.733524502044487,11.23097412480974,0.0433675718519042,0.2600165670250774,30135404.78274582,573.3524502044486,637.4217647594879,2279.399576536085,52560,31536000,2022,0,0,9,15,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_9_onoffseed_15_tempseed_42_paper2_final_runs_v1-res2_progress.csv,
301,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,15,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_15_tempseed_15_paper2_final_runs_v1-res2_progress.csv,
